Churn,customer.tenure,account.Charges.Monthly,account.Contract,customer.SeniorCitizen,internet.InternetService,account.PaymentMethod
No,9,65.6,One year,0,DSL,Mailed check
No,9,59.9,Month-to-month,0,DSL,Mailed check
Yes,4,73.9,Month-to-month,0,Fiber optic,Electronic check
Yes,13,98.0,Month-to-month,1,Fiber optic,Electronic check
Yes,3,83.9,Month-to-month,1,Fiber optic,Mailed check
No,9,69.4,Month-to-month,0,DSL,Credit card (automatic)
No,71,109.7,Two year,1,Fiber optic,Bank transfer (automatic)
No,63,84.65,Two year,0,Fiber optic,Credit card (automatic)
No,7,48.2,Month-to-month,1,DSL,Electronic check
No,65,90.45,Two year,0,DSL,Mailed check
No,54,45.2,Two year,0,DSL,Credit card (automatic)
No,72,116.8,Two year,0,Fiber optic,Credit card (automatic)
No,5,68.95,Month-to-month,0,Fiber optic,Electronic check
No,72,101.3,Two year,0,Fiber optic,Bank transfer (automatic)
No,56,45.05,Two year,0,DSL,Bank transfer (automatic)
No,71,95.75,Two year,0,Fiber optic,Credit card (automatic)
No,34,61.25,One year,0,DSL,Mailed check
No,1,72.1,Month-to-month,1,Fiber optic,Electronic check
Yes,45,62.7,One year,1,DSL,Credit card (automatic)
Yes,1,25.1,Month-to-month,1,DSL,Electronic check
No,50,25.2,One year,1,No,Electronic check
Yes,13,94.1,Month-to-month,0,Fiber optic,Electronic check
No,23,83.75,Month-to-month,0,Fiber optic,Electronic check
No,3,19.85,Month-to-month,0,No,Mailed check
Yes,4,20.35,Month-to-month,0,No,Mailed check
Yes,1,30.5,Month-to-month,0,DSL,Bank transfer (automatic)
No,55,103.7,One year,0,Fiber optic,Bank transfer (automatic)
No,54,20.4,Two year,0,No,Credit card (automatic)
No,26,19.6,One year,0,No,Bank transfer (automatic)
No,69,19.7,Two year,0,No,Bank transfer (automatic)
,11,79.0,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,37,91.2,One year,0,Fiber optic,Credit card (automatic)
No,49,20.45,One year,0,No,Bank transfer (automatic)
No,66,115.8,One year,0,Fiber optic,Bank transfer (automatic)
No,67,20.55,One year,0,No,Electronic check
No,20,39.4,Two year,0,DSL,Credit card (automatic)
No,43,25.1,Two year,0,No,Electronic check
No,55,89.8,Month-to-month,0,Fiber optic,Bank transfer (automatic)
No,59,94.75,Month-to-month,0,Fiber optic,Electronic check
No,12,20.3,Two year,0,No,Bank transfer (automatic)
